HumanlikeLearning_I_run_1,HumanlikeLearning_I_run_2,HumanlikeLearning_I_run_3,HumanlikeLearning_I_run_4,HumanlikeLearning_I_run_5,HumanlikeLearning_I_run_6,HumanlikeLearning_I_run_7,HumanlikeLearning_I_run_8,HumanlikeLearning_I_run_9,HumanlikeLearning_I_run_10
0.1618,0.1135,0.1154,0.1135,0.2563,0.1304,0.1695,0.1918,0.1895,0.1832
0.2538,0.1929,0.2409,0.2087,0.3716,0.1135,0.2385,0.148,0.1312,0.1029
0.3397,0.2355,0.292,0.2649,0.3195,0.2237,0.3416,0.2351,0.4417,0.2166
0.328,0.3501,0.3543,0.3202,0.4846,0.4228,0.3729,0.3683,0.2844,0.2937
0.562,0.5144,0.4177,0.3976,0.4977,0.3834,0.5097,0.3886,0.4839,0.3589
0.5962,0.3579,0.513,0.5302,0.3946,0.4946,0.4679,0.3892,0.3838,0.5418
0.6604,0.6407,0.6214,0.5554,0.5876,0.6602,0.5472,0.6001,0.5334,0.5762
0.6167,0.6669,0.6236,0.647,0.4832,0.7046,0.6207,0.6223,0.4839,0.591
0.693,0.7383,0.7159,0.6559,0.5001,0.7087,0.6337,0.5872,0.7128,0.6957
0.7888,0.7255,0.7684,0.7786,0.7765,0.7795,0.7018,0.6682,0.7229,0.6809
0.766,0.8002,0.7861,0.7444,0.8268,0.8094,0.7205,0.777,0.6832,0.7977
0.7547,0.7473,0.7882,0.8243,0.82,0.8049,0.7361,0.828,0.7343,0.848
0.7061,0.8488,0.8139,0.7593,0.7965,0.8041,0.7867,0.7767,0.7012,0.7202
0.8362,0.7285,0.802,0.8529,0.8274,0.7509,0.8268,0.8383,0.7877,0.7444
0.8243,0.8501,0.8463,0.8502,0.8684,0.8535,0.8409,0.8601,0.744,0.8728
0.8617,0.8675,0.8636,0.8538,0.8893,0.8785,0.8515,0.8696,0.8772,0.8498
0.8841,0.8475,0.8075,0.8156,0.8646,0.8247,0.8341,0.8841,0.8151,0.8217
0.8349,0.8517,0.8656,0.8718,0.8592,0.891,0.8449,0.8769,0.8508,0.8927
0.8572,0.8554,0.8466,0.8816,0.9113,0.8591,0.88,0.8547,0.8569,0.8938
0.8638,0.8932,0.8756,0.8748,0.9015,0.8778,0.8975,0.8938,0.9026,0.8758
0.9001,0.8399,0.8903,0.895,0.8419,0.8664,0.9054,0.8794,0.8951,0.8999
0.8958,0.8928,0.8498,0.8888,0.8997,0.8997,0.9075,0.8731,0.8914,0.891
0.8836,0.9046,0.8772,0.894,0.9039,0.8831,0.8585,0.9197,0.9027,0.8981
0.8952,0.9079,0.8793,0.8134,0.9047,0.8944,0.9222,0.9042,0.8983,0.9031
0.8899,0.8932,0.8765,0.9035,0.9231,0.9144,0.9212,0.9121,0.9139,0.8774
0.9282,0.8972,0.9124,0.9131,0.9344,0.9179,0.902,0.9132,0.8827,0.909
0.9155,0.9119,0.9119,0.9132,0.8941,0.9037,0.9307,0.9176,0.8984,0.9321
0.8983,0.9346,0.9236,0.9113,0.9328,0.9243,0.8936,0.9207,0.9232,0.9277
0.9116,0.927,0.9193,0.9082,0.91,0.9372,0.9247,0.9121,0.9277,0.9163
0.9249,0.934,0.8526,0.9099,0.9265,0.91,0.9338,0.9298,0.939,0.9241
0.9189,0.9317,0.9303,0.8971,0.9395,0.9359,0.9469,0.9226,0.9083,0.934
0.916,0.9335,0.9358,0.9164,0.9328,0.9285,0.9261,0.9322,0.9329,0.931
0.9323,0.9271,0.9365,0.9225,0.9381,0.9327,0.9346,0.9207,0.9267,0.9267
0.941,0.9069,0.9334,0.9288,0.9326,0.9257,0.9398,0.9198,0.9343,0.9429
0.936,0.9414,0.939,0.9413,0.9086,0.9265,0.9421,0.9068,0.939,0.9317
0.9336,0.9386,0.9403,0.9367,0.94,0.9304,0.9361,0.9405,0.9449,0.9284
0.9397,0.952,0.9367,0.942,0.9413,0.9455,0.9368,0.9423,0.9407,0.932
0.9421,0.94,0.9317,0.9376,0.9464,0.9459,0.9357,0.9316,0.9445,0.9315
0.9478,0.9412,0.9236,0.9411,0.9285,0.9426,0.9269,0.9477,0.9445,0.9423
0.9153,0.9369,0.9239,0.9512,0.9463,0.9028,0.9467,0.9404,0.9442,0.9448
0.9516,0.9448,0.9416,0.9513,0.9486,0.946,0.9483,0.9431,0.9494,0.9517
0.939,0.9458,0.9399,0.9422,0.9261,0.9519,0.9371,0.9371,0.932,0.9402
0.9488,0.9476,0.9506,0.9472,0.9525,0.942,0.9418,0.9448,0.9524,0.95
0.9396,0.9432,0.9384,0.9451,0.9438,0.9407,0.9465,0.9453,0.9402,0.952
0.9349,0.9415,0.9482,0.9519,0.9435,0.9427,0.9498,0.9489,0.9487,0.9482
0.9459,0.9475,0.9482,0.9508,0.9484,0.9522,0.9484,0.9465,0.951,0.9433
0.943,0.9495,0.9492,0.9468,0.9483,0.9473,0.9481,0.9478,0.9446,0.9408
0.9517,0.9483,0.9537,0.9454,0.9504,0.9495,0.9454,0.9547,0.9544,0.9465
0.9454,0.9494,0.9347,0.9493,0.9425,0.9439,0.9475,0.9501,0.947,0.9458
0.9505,0.9539,0.9491,0.9467,0.9539,0.9532,0.9442,0.9545,0.9484,0.9488
