LeastConfidence_run_1,LeastConfidence_run_2,LeastConfidence_run_3,LeastConfidence_run_4,LeastConfidence_run_5,LeastConfidence_run_6,LeastConfidence_run_7,LeastConfidence_run_8,LeastConfidence_run_9,LeastConfidence_run_10
0.781,0.7957,0.7389,0.8275,0.7998,0.7773,0.7887,0.6759,0.6662,0.6946
0.8367,0.8445,0.8304,0.7823,0.791,0.78,0.8005,0.8056,0.7818,0.7854
0.7748,0.8251,0.7936,0.8085,0.8469,0.8338,0.8443,0.85,0.8263,0.7947
0.8623,0.8145,0.7831,0.8058,0.8235,0.8216,0.8421,0.8268,0.8056,0.8432
0.8489,0.8603,0.8515,0.8439,0.8532,0.8555,0.7628,0.8526,0.8364,0.7979
0.8813,0.8558,0.8533,0.8904,0.8221,0.8698,0.762,0.8843,0.8473,0.8554
0.8201,0.8941,0.8772,0.8532,0.8777,0.8872,0.8869,0.8662,0.862,0.8745
0.8589,0.8587,0.8371,0.8892,0.8303,0.8768,0.8682,0.892,0.8788,0.8815
0.8693,0.8749,0.8988,0.8385,0.9014,0.9001,0.8706,0.8775,0.8672,0.837
0.8972,0.9139,0.9081,0.8682,0.8334,0.8798,0.8503,0.9017,0.8703,0.897
0.8925,0.8731,0.899,0.9113,0.8868,0.9046,0.9013,0.9008,0.8919,0.9001
0.9088,0.8595,0.8944,0.9085,0.9112,0.9172,0.9097,0.9188,0.8903,0.907
0.9122,0.8888,0.8684,0.8864,0.9058,0.8955,0.8963,0.9143,0.9004,0.8822
0.9199,0.8761,0.8683,0.9143,0.8928,0.8647,0.905,0.9223,0.885,0.9149
0.8777,0.9131,0.9227,0.9192,0.8961,0.9049,0.9259,0.9136,0.902,0.8971
0.9207,0.9128,0.9159,0.9004,0.9055,0.8959,0.9064,0.909,0.9164,0.9146
0.9288,0.8864,0.8108,0.8766,0.9103,0.9091,0.9319,0.9003,0.916,0.9096
0.9051,0.925,0.9267,0.9347,0.9162,0.919,0.9208,0.9247,0.9302,0.9226
0.9021,0.9232,0.916,0.9149,0.9212,0.9143,0.9,0.9186,0.9212,0.91
0.9195,0.9126,0.9323,0.9236,0.9344,0.926,0.9058,0.9189,0.8873,0.9263
0.9405,0.9366,0.9211,0.9267,0.9274,0.9337,0.932,0.9381,0.935,0.938
0.9374,0.9349,0.9332,0.933,0.9358,0.9194,0.9348,0.9329,0.9245,0.9272
0.9388,0.9368,0.9398,0.9327,0.9366,0.9315,0.9348,0.9038,0.9437,0.922
0.943,0.9356,0.9396,0.9365,0.9358,0.9399,0.9328,0.9358,0.9251,0.944
0.9178,0.9408,0.944,0.9274,0.935,0.944,0.9434,0.9379,0.9348,0.9269
0.9316,0.9245,0.9167,0.9071,0.9451,0.9024,0.8861,0.9433,0.9308,0.9463
0.9416,0.9364,0.9343,0.949,0.9481,0.9376,0.9274,0.9434,0.9363,0.9412
0.9358,0.9526,0.947,0.9314,0.9332,0.9345,0.9426,0.946,0.933,0.9336
0.9493,0.9421,0.9439,0.9468,0.9455,0.9476,0.9467,0.9355,0.9374,0.9467
0.943,0.9401,0.9531,0.9375,0.9414,0.9423,0.938,0.9459,0.9397,0.9456
0.9441,0.9347,0.937,0.9435,0.9525,0.9412,0.9321,0.9458,0.9384,0.9476
0.952,0.949,0.9409,0.9406,0.9465,0.9465,0.9537,0.9469,0.9518,0.9498
0.9411,0.9493,0.9316,0.9493,0.9463,0.9448,0.952,0.9404,0.8973,0.9485
0.9303,0.9415,0.9422,0.9459,0.9474,0.9456,0.95,0.9446,0.9537,0.9493
0.9472,0.9317,0.9532,0.9499,0.9426,0.953,0.9491,0.9533,0.9432,0.9506
0.9516,0.9493,0.9384,0.943,0.9485,0.9468,0.9477,0.9374,0.9402,0.9439
0.9548,0.9423,0.9474,0.9302,0.9526,0.9485,0.9512,0.9516,0.9462,0.9497
0.9435,0.953,0.9489,0.9561,0.9515,0.9504,0.9393,0.9481,0.9523,0.9482
0.9598,0.9404,0.9502,0.9441,0.9509,0.9557,0.9578,0.9547,0.9467,0.9479
0.9574,0.9572,0.9508,0.9539,0.9522,0.9504,0.9521,0.9472,0.9532,0.9401
0.948,0.945,0.9514,0.9517,0.9487,0.9457,0.9495,0.9369,0.9553,0.9526
0.9555,0.9506,0.9518,0.9456,0.9486,0.9456,0.9509,0.9522,0.9506,0.9428
0.9504,0.9529,0.9564,0.9517,0.9487,0.9526,0.9506,0.9556,0.9556,0.9536
0.9513,0.9558,0.9526,0.9603,0.9523,0.9493,0.9444,0.9453,0.95,0.9532
0.9533,0.9519,0.9594,0.9483,0.9541,0.9537,0.9509,0.9512,0.9526,0.953
0.9519,0.9586,0.9595,0.9514,0.9514,0.9504,0.9492,0.9531,0.9548,0.9482
0.9493,0.951,0.9477,0.9495,0.955,0.9498,0.9511,0.9458,0.9513,0.9538
0.9575,0.9547,0.9571,0.9546,0.951,0.9508,0.9472,0.9543,0.9535,0.9497
0.9512,0.9486,0.9524,0.9555,0.9512,0.9565,0.955,0.9444,0.9465,0.95
0.9595,0.9585,0.9477,0.9503,0.955,0.958,0.9529,0.9559,0.9548,0.9569
