HumanlikeLearning_I_run_1,HumanlikeLearning_I_run_2,HumanlikeLearning_I_run_3,HumanlikeLearning_I_run_4,HumanlikeLearning_I_run_5,HumanlikeLearning_I_run_6,HumanlikeLearning_I_run_7,HumanlikeLearning_I_run_8,HumanlikeLearning_I_run_9,HumanlikeLearning_I_run_10
0.4612,0.4534,0.3737,0.3235,0.6703,0.6248,0.6255,0.3379,0.2404,0.5637
0.4922,0.5128,0.5262,0.5745,0.3924,0.6384,0.4677,0.2916,0.6278,0.4782
0.7358,0.5008,0.571,0.6245,0.6365,0.4582,0.74,0.6373,0.6595,0.6856
0.7732,0.7686,0.4816,0.6877,0.6053,0.6164,0.6027,0.3113,0.6634,0.6546
0.3888,0.762,0.6949,0.5863,0.6466,0.699,0.6586,0.7695,0.8032,0.7325
0.7497,0.7953,0.7629,0.7174,0.8137,0.7329,0.7728,0.7753,0.5755,0.7568
0.817,0.7329,0.7979,0.7715,0.7718,0.4928,0.7607,0.7563,0.7933,0.8245
0.8225,0.8544,0.8262,0.8006,0.8424,0.766,0.7458,0.7683,0.7605,0.8365
0.8544,0.8409,0.8722,0.7411,0.7757,0.7858,0.7584,0.86,0.8477,0.6524
0.8608,0.8474,0.8227,0.8744,0.8545,0.8438,0.8061,0.757,0.8243,0.7976
0.8626,0.8399,0.7651,0.836,0.8387,0.7783,0.8111,0.8527,0.8612,0.8169
0.8753,0.8648,0.8466,0.8627,0.8398,0.8542,0.8072,0.863,0.8607,0.8361
0.7788,0.851,0.8333,0.8913,0.8486,0.8763,0.8788,0.8721,0.8576,0.8663
0.8534,0.8963,0.8074,0.8059,0.8364,0.8337,0.8674,0.8805,0.8938,0.8736
0.8794,0.9003,0.892,0.8679,0.8971,0.8559,0.8795,0.8665,0.88,0.8956
0.8624,0.9016,0.9128,0.7936,0.8948,0.7974,0.8787,0.8427,0.908,0.8589
0.8965,0.8949,0.8869,0.8083,0.7997,0.844,0.8783,0.9054,0.8904,0.8504
0.8899,0.8847,0.9252,0.8567,0.8868,0.9022,0.9093,0.8879,0.8696,0.9037
0.8884,0.9027,0.8994,0.8894,0.8818,0.8999,0.9175,0.8827,0.8889,0.8912
0.8367,0.9105,0.8688,0.873,0.92,0.8935,0.8941,0.9068,0.8235,0.8595
0.9192,0.9087,0.9143,0.9233,0.8871,0.8921,0.9057,0.9075,0.9119,0.9077
0.9306,0.9159,0.9255,0.9183,0.9076,0.9268,0.9221,0.9054,0.9257,0.9163
0.9325,0.9098,0.9101,0.8946,0.9235,0.9129,0.9077,0.926,0.9033,0.9248
0.9262,0.9227,0.921,0.913,0.9338,0.9354,0.918,0.914,0.9123,0.9191
0.9102,0.9219,0.9164,0.9314,0.93,0.9274,0.9017,0.8934,0.9243,0.9363
0.9269,0.9134,0.9287,0.9198,0.9291,0.9154,0.9234,0.9228,0.9084,0.919
0.9178,0.9239,0.9304,0.9271,0.9288,0.931,0.9026,0.9186,0.929,0.926
0.9344,0.9408,0.9296,0.9293,0.9338,0.918,0.9405,0.9411,0.9351,0.9256
0.9306,0.9405,0.9327,0.9105,0.9378,0.9319,0.9264,0.9486,0.9218,0.9191
0.9418,0.9286,0.9296,0.9212,0.9206,0.9268,0.9298,0.9323,0.9278,0.9225
0.9364,0.9423,0.9375,0.9319,0.9347,0.9414,0.9336,0.9259,0.9241,0.9323
0.9184,0.9236,0.9403,0.9313,0.9392,0.9354,0.9273,0.9292,0.9465,0.949
0.9359,0.9454,0.9494,0.9428,0.9426,0.9451,0.9349,0.9399,0.9379,0.9347
0.9377,0.9285,0.9402,0.9401,0.9365,0.9454,0.9468,0.9353,0.9307,0.9373
0.9356,0.9379,0.9197,0.9471,0.9248,0.9452,0.9453,0.9427,0.9454,0.933
0.9396,0.9443,0.9343,0.9206,0.942,0.9481,0.9416,0.95,0.9442,0.9328
0.9482,0.9376,0.9436,0.9482,0.9486,0.929,0.94,0.9014,0.9403,0.9425
0.9397,0.9258,0.939,0.9431,0.9308,0.9486,0.9263,0.9434,0.9274,0.9343
0.9496,0.9441,0.9447,0.9478,0.9495,0.9462,0.9508,0.9467,0.9429,0.9384
0.9424,0.9427,0.945,0.95,0.9485,0.9484,0.94,0.9435,0.9459,0.9431
0.9554,0.942,0.9489,0.9516,0.9471,0.9463,0.9524,0.9488,0.9465,0.9455
0.9402,0.9491,0.9444,0.9473,0.9561,0.9495,0.9442,0.9528,0.9521,0.9466
0.9335,0.9429,0.9454,0.9474,0.9505,0.9491,0.9564,0.9412,0.9503,0.9368
0.9529,0.9475,0.9424,0.9509,0.9514,0.9538,0.9432,0.9524,0.9523,0.948
0.9552,0.9532,0.9471,0.9456,0.9381,0.9395,0.94,0.941,0.9422,0.9489
0.9532,0.9415,0.9481,0.9529,0.9454,0.953,0.9507,0.9559,0.9516,0.9503
0.945,0.9392,0.9496,0.9424,0.9491,0.9501,0.9533,0.9514,0.953,0.9538
0.9574,0.9533,0.944,0.9445,0.9444,0.9513,0.9465,0.9539,0.948,0.9512
0.9558,0.9544,0.9543,0.9424,0.95,0.9496,0.9575,0.9516,0.9583,0.9522
0.9538,0.956,0.9484,0.9474,0.9493,0.9544,0.9515,0.9504,0.9531,0.9515
