LeastConfidence_run_1,LeastConfidence_run_2,LeastConfidence_run_3,LeastConfidence_run_4,LeastConfidence_run_5,LeastConfidence_run_6,LeastConfidence_run_7,LeastConfidence_run_8,LeastConfidence_run_9,LeastConfidence_run_10
0.1844,0.1,0.1271,0.1915,0.1828,0.1832,0.1,0.1028,0.1726,0.1678
0.1,0.1885,0.1082,0.1003,0.1787,0.1,0.1585,0.1,0.2754,0.2324
0.164,0.1662,0.1973,0.1401,0.292,0.2161,0.2847,0.1776,0.2493,0.1529
0.206,0.2191,0.2339,0.2495,0.3218,0.2232,0.2164,0.2552,0.2224,0.2162
0.2549,0.2705,0.2849,0.2838,0.1971,0.2799,0.2863,0.3009,0.2537,0.2802
0.3266,0.2746,0.3225,0.3983,0.3167,0.2775,0.3067,0.2917,0.3217,0.3826
0.4145,0.2874,0.3431,0.2261,0.2549,0.3304,0.2701,0.3896,0.2525,0.461
0.2959,0.2888,0.4571,0.493,0.3873,0.2815,0.3317,0.4128,0.2589,0.4183
0.3767,0.3513,0.4225,0.4611,0.3599,0.4315,0.3193,0.3355,0.4897,0.4548
0.49,0.226,0.4718,0.4465,0.4267,0.457,0.4057,0.5523,0.4674,0.5043
0.4561,0.3957,0.4776,0.4619,0.4464,0.464,0.4994,0.4978,0.5408,0.4682
0.4118,0.4407,0.4723,0.4809,0.4725,0.4944,0.4531,0.4633,0.5306,0.4961
0.4578,0.438,0.4886,0.5174,0.4215,0.5416,0.5824,0.2951,0.5085,0.5033
0.5081,0.413,0.4408,0.5325,0.4788,0.4852,0.5978,0.4738,0.4693,0.455
0.524,0.4214,0.5054,0.5292,0.5487,0.5305,0.6027,0.5241,0.5589,0.5997
0.5331,0.4817,0.4827,0.5626,0.4876,0.534,0.5391,0.5494,0.565,0.5203
0.5271,0.455,0.5563,0.5109,0.4789,0.5633,0.6745,0.5191,0.5736,0.5639
0.5431,0.5202,0.5409,0.57,0.6438,0.5721,0.4946,0.5282,0.4867,0.5314
0.5505,0.4937,0.4977,0.5442,0.559,0.5229,0.5942,0.4895,0.5719,0.5639
0.639,0.5528,0.5267,0.552,0.6329,0.5412,0.6393,0.5257,0.5994,0.6402
0.6563,0.5004,0.6517,0.5931,0.5921,0.5867,0.5826,0.5795,0.605,0.6284
0.6756,0.4963,0.5886,0.6062,0.5638,0.5911,0.6162,0.5574,0.5658,0.6202
0.6119,0.5894,0.6189,0.5866,0.5812,0.5835,0.6754,0.6135,0.5672,0.6113
0.6149,0.5468,0.6434,0.4918,0.5899,0.5473,0.6461,0.5714,0.6343,0.5881
0.6313,0.6201,0.6455,0.6198,0.6826,0.5779,0.6729,0.5637,0.5984,0.6272
0.5831,0.6293,0.6584,0.5661,0.6689,0.6602,0.6698,0.6498,0.6366,0.6661
0.6856,0.5993,0.5858,0.6403,0.6495,0.6393,0.6882,0.6432,0.674,0.675
0.6829,0.6001,0.6247,0.6971,0.6558,0.6312,0.6399,0.5374,0.6734,0.6945
0.6882,0.5954,0.6344,0.6586,0.6499,0.6403,0.6611,0.604,0.6629,0.6714
0.6715,0.658,0.6448,0.6444,0.6498,0.6776,0.6577,0.6856,0.6089,0.6961
0.6665,0.6516,0.6244,0.6957,0.6799,0.6445,0.699,0.6933,0.6671,0.6843
0.6643,0.6634,0.6536,0.6965,0.6894,0.6793,0.7101,0.6415,0.6816,0.6907
0.681,0.6546,0.6929,0.6826,0.6369,0.6829,0.6883,0.6522,0.6115,0.6807
0.6802,0.661,0.6739,0.7019,0.6398,0.6845,0.7136,0.6469,0.6925,0.7093
0.7043,0.6842,0.6778,0.5959,0.704,0.7186,0.7099,0.7086,0.6926,0.7059
0.6346,0.7077,0.7018,0.6382,0.6798,0.6662,0.6907,0.6794,0.6626,0.6694
0.6889,0.7128,0.6803,0.6764,0.6697,0.7227,0.7096,0.661,0.6827,0.6974
0.6743,0.6735,0.6842,0.6914,0.7049,0.6933,0.7024,0.7054,0.6912,0.6764
0.7047,0.6888,0.6793,0.6847,0.673,0.7102,0.7052,0.703,0.6977,0.7086
0.6528,0.615,0.7072,0.6859,0.6997,0.5546,0.6586,0.6919,0.7066,0.6701
0.6609,0.7128,0.6694,0.7168,0.6958,0.6735,0.7251,0.6871,0.7115,0.6725
0.6651,0.6716,0.6955,0.6994,0.7179,0.6078,0.7106,0.6034,0.6722,0.677
0.7273,0.7209,0.7233,0.7107,0.7373,0.6821,0.7283,0.7068,0.7306,0.7051
0.697,0.7149,0.6971,0.7196,0.68,0.7225,0.7136,0.6968,0.6911,0.7063
0.6996,0.6764,0.7176,0.7334,0.662,0.6805,0.7413,0.7278,0.6785,0.7301
0.671,0.7097,0.6933,0.7244,0.6922,0.7289,0.7132,0.6633,0.7115,0.6303
0.7196,0.7292,0.7261,0.6751,0.7207,0.7275,0.7424,0.7139,0.6634,0.7246
0.6878,0.7136,0.732,0.6625,0.6367,0.7349,0.7293,0.6994,0.7134,0.7265
0.6797,0.7281,0.7159,0.6896,0.6516,0.6911,0.6782,0.7266,0.655,0.7197
0.7111,0.6843,0.7116,0.6677,0.7183,0.7093,0.7461,0.7199,0.705,0.6917
