EntropySampling_run_1,EntropySampling_run_2,EntropySampling_run_3,EntropySampling_run_4,EntropySampling_run_5,EntropySampling_run_6,EntropySampling_run_7,EntropySampling_run_8,EntropySampling_run_9,EntropySampling_run_10
0.781,0.8323,0.558,0.7574,0.8221,0.7867,0.7468,0.8251,0.5704,0.7698
0.8368,0.8005,0.7652,0.8044,0.7649,0.8344,0.817,0.8101,0.8127,0.8216
0.7838,0.7733,0.8113,0.7958,0.8455,0.8226,0.8017,0.8591,0.8122,0.8274
0.845,0.8182,0.7838,0.8143,0.814,0.7884,0.8618,0.8427,0.8395,0.8184
0.8474,0.8719,0.8465,0.8569,0.8333,0.8332,0.8499,0.8741,0.8344,0.8633
0.8779,0.839,0.8244,0.8722,0.8249,0.8504,0.8526,0.8666,0.8544,0.8543
0.8088,0.8771,0.8405,0.8595,0.8659,0.8573,0.824,0.8557,0.86,0.8108
0.8513,0.8562,0.8526,0.8808,0.8567,0.8696,0.867,0.8715,0.8697,0.8941
0.8492,0.9115,0.8818,0.8611,0.8865,0.8942,0.8707,0.8867,0.894,0.868
0.8993,0.8904,0.8733,0.9053,0.881,0.8659,0.8625,0.8597,0.838,0.8342
0.8925,0.8878,0.8739,0.8666,0.9043,0.8246,0.8637,0.8765,0.8902,0.908
0.908,0.9049,0.86,0.8525,0.8959,0.909,0.8941,0.8965,0.8978,0.8715
0.899,0.8876,0.8931,0.8524,0.8796,0.9138,0.9099,0.8832,0.8675,0.9092
0.9097,0.902,0.9192,0.9043,0.8903,0.8977,0.9083,0.9188,0.8955,0.8813
0.9048,0.92,0.9131,0.8877,0.9082,0.9122,0.9187,0.8984,0.8785,0.8856
0.9253,0.9105,0.8795,0.9061,0.915,0.9135,0.8903,0.9179,0.9157,0.935
0.9353,0.6694,0.8868,0.9211,0.912,0.9281,0.9305,0.9147,0.8388,0.8144
0.8902,0.9287,0.9178,0.9138,0.9181,0.9302,0.9253,0.9256,0.918,0.9002
0.9022,0.9282,0.9113,0.9095,0.9113,0.9158,0.9286,0.909,0.9186,0.9023
0.9279,0.9254,0.9198,0.9195,0.9234,0.9263,0.9144,0.935,0.9267,0.9312
0.933,0.9281,0.915,0.931,0.9334,0.9246,0.9279,0.9153,0.9184,0.9178
0.9333,0.9304,0.9197,0.9209,0.9211,0.9266,0.9257,0.9297,0.9374,0.9308
0.9372,0.9323,0.928,0.9048,0.9221,0.9311,0.9344,0.924,0.9277,0.9403
0.9296,0.9139,0.9392,0.9344,0.912,0.9375,0.9257,0.9313,0.9257,0.9361
0.9345,0.9314,0.9291,0.921,0.9368,0.9315,0.9282,0.9268,0.9436,0.939
0.9257,0.9341,0.9099,0.939,0.9418,0.8945,0.9416,0.9227,0.9409,0.9357
0.9439,0.9354,0.9479,0.9306,0.9361,0.9307,0.9385,0.9464,0.9446,0.9347
0.9425,0.9427,0.9309,0.9269,0.9189,0.9408,0.9415,0.9443,0.9412,0.9398
0.9495,0.9368,0.9445,0.9502,0.9374,0.9455,0.9478,0.9379,0.9408,0.9375
0.9376,0.938,0.9434,0.9389,0.9476,0.9325,0.9421,0.9535,0.9293,0.9442
0.9249,0.9361,0.9403,0.9457,0.9519,0.946,0.9489,0.9491,0.9464,0.9349
0.9507,0.9503,0.9348,0.9443,0.9429,0.9384,0.9495,0.9375,0.9452,0.9485
0.9414,0.9403,0.947,0.9496,0.9278,0.9472,0.9484,0.9149,0.9417,0.9279
0.9286,0.951,0.9423,0.9413,0.9457,0.9488,0.9447,0.9443,0.9536,0.9507
0.9493,0.9457,0.9488,0.9346,0.9457,0.9298,0.936,0.9517,0.9461,0.941
0.954,0.9443,0.9535,0.9483,0.9493,0.9386,0.9448,0.955,0.9523,0.9407
0.9545,0.944,0.9496,0.951,0.9446,0.9499,0.9521,0.9527,0.9524,0.9448
0.9428,0.9488,0.9523,0.9532,0.9457,0.9521,0.9535,0.9463,0.9492,0.9515
0.9588,0.9523,0.9501,0.9489,0.951,0.9588,0.9505,0.9497,0.9568,0.9543
0.9533,0.94,0.941,0.949,0.9539,0.95,0.9553,0.9493,0.9495,0.9537
0.9526,0.9495,0.9528,0.9598,0.952,0.9508,0.947,0.9543,0.9493,0.9495
0.9528,0.9439,0.9439,0.9506,0.9506,0.9429,0.9438,0.9505,0.9552,0.9317
0.9545,0.952,0.9622,0.9542,0.9555,0.9536,0.9602,0.9561,0.9538,0.952
0.9484,0.9476,0.9549,0.9551,0.9545,0.9556,0.9427,0.954,0.9559,0.9562
0.9535,0.9457,0.9429,0.9531,0.948,0.9579,0.947,0.9525,0.9488,0.9498
0.9508,0.9484,0.9536,0.95,0.9527,0.9541,0.9535,0.9435,0.9494,0.9493
0.9343,0.9511,0.9555,0.9491,0.9567,0.9519,0.9578,0.9461,0.9597,0.9535
0.9554,0.9546,0.9403,0.9571,0.9561,0.9456,0.9568,0.9547,0.9482,0.9527
0.953,0.9539,0.9552,0.9546,0.9538,0.9553,0.9618,0.9513,0.9263,0.9486
0.9598,0.9539,0.9532,0.9548,0.9484,0.9485,0.9469,0.9543,0.9605,0.959
