LeastConfidence_run_1,LeastConfidence_run_2,LeastConfidence_run_3,LeastConfidence_run_4,LeastConfidence_run_5,LeastConfidence_run_6,LeastConfidence_run_7,LeastConfidence_run_8,LeastConfidence_run_9,LeastConfidence_run_10
0.6619,0.6075,0.5856,0.5057,0.5558,0.5673,0.5249,0.542,0.57,0.5906
0.5958,0.5625,0.5853,0.6234,0.5578,0.5166,0.6187,0.6706,0.6134,0.5715
0.6198,0.6085,0.608,0.6028,0.6527,0.6084,0.643,0.5019,0.582,0.5888
0.6512,0.5365,0.6456,0.5938,0.6037,0.5839,0.5356,0.5961,0.6199,0.5937
0.5864,0.6271,0.6262,0.529,0.6161,0.6384,0.6711,0.6248,0.578,0.5821
0.682,0.642,0.6094,0.6488,0.5899,0.645,0.6222,0.6067,0.5653,0.616
0.6634,0.6503,0.659,0.6544,0.6047,0.6566,0.6569,0.65,0.6177,0.6347
0.6663,0.67,0.6121,0.6257,0.6287,0.6326,0.5582,0.6281,0.5935,0.6443
0.6586,0.6508,0.6511,0.6289,0.6335,0.6133,0.6171,0.647,0.662,0.6636
0.6716,0.638,0.6226,0.5973,0.6537,0.6298,0.6266,0.6312,0.6914,0.6438
0.6806,0.6569,0.6356,0.666,0.6094,0.6273,0.6564,0.6659,0.6475,0.6573
0.6306,0.6323,0.6138,0.6709,0.6673,0.6921,0.6657,0.6533,0.6525,0.6622
0.5986,0.6742,0.6929,0.6785,0.6719,0.6897,0.6742,0.6626,0.6835,0.6999
0.6777,0.6783,0.6231,0.6842,0.6551,0.6443,0.6607,0.646,0.6241,0.6924
0.6429,0.6263,0.6168,0.5802,0.6541,0.696,0.677,0.6844,0.6853,0.5679
0.7028,0.6896,0.6914,0.6458,0.6933,0.6356,0.6701,0.67,0.6667,0.6696
0.6407,0.5883,0.6462,0.6814,0.638,0.5902,0.6923,0.6476,0.6694,0.6127
0.6957,0.6596,0.6304,0.6907,0.6892,0.7049,0.6617,0.6885,0.6841,0.6986
0.6777,0.666,0.6889,0.7069,0.7105,0.6799,0.6835,0.6959,0.6761,0.6825
0.5347,0.6015,0.6013,0.6528,0.7004,0.6892,0.708,0.6835,0.6302,0.7027
0.6743,0.6183,0.6985,0.6845,0.6544,0.6848,0.635,0.6301,0.6719,0.6785
0.7012,0.7208,0.6946,0.6895,0.6781,0.6788,0.706,0.6937,0.6889,0.7019
0.6628,0.6505,0.6778,0.6858,0.6944,0.6398,0.7131,0.6327,0.6946,0.6704
0.6999,0.668,0.6584,0.6356,0.7144,0.6901,0.6917,0.6615,0.6432,0.6992
0.7151,0.7148,0.685,0.7017,0.6903,0.6825,0.6797,0.7136,0.6946,0.6072
0.6684,0.7172,0.6728,0.7081,0.706,0.6407,0.7069,0.6763,0.699,0.6898
0.7096,0.7175,0.691,0.703,0.6667,0.6678,0.7206,0.715,0.687,0.6629
0.6934,0.6793,0.7218,0.7103,0.6785,0.6867,0.6809,0.7132,0.7028,0.7047
0.7182,0.7094,0.6728,0.7137,0.6861,0.7109,0.7128,0.7051,0.7064,0.7067
0.6796,0.7086,0.719,0.7227,0.6553,0.7284,0.7112,0.7046,0.6614,0.6918
0.6696,0.6514,0.6938,0.7048,0.6233,0.6576,0.6867,0.6361,0.6912,0.6497
0.7109,0.6789,0.73,0.7237,0.6296,0.714,0.6725,0.7072,0.6658,0.7095
0.7202,0.669,0.699,0.7059,0.7194,0.7279,0.6639,0.7248,0.7131,0.6499
0.689,0.7375,0.7331,0.6871,0.7106,0.7002,0.6926,0.711,0.6885,0.7191
0.695,0.6723,0.6905,0.7139,0.6917,0.6829,0.6864,0.7095,0.6991,0.7006
0.6439,0.6983,0.7188,0.7285,0.706,0.7256,0.7066,0.7187,0.7179,0.7175
0.6825,0.7499,0.7115,0.7309,0.7259,0.7365,0.7186,0.6795,0.7394,0.6735
0.7115,0.7279,0.6828,0.7509,0.7266,0.7438,0.6502,0.7024,0.7109,0.7188
0.7489,0.693,0.7057,0.7464,0.7246,0.7317,0.7312,0.7083,0.7418,0.7344
0.7266,0.6839,0.7168,0.6842,0.7155,0.7224,0.6937,0.7428,0.727,0.7225
0.7346,0.7224,0.7413,0.6974,0.7072,0.7199,0.6695,0.7338,0.7326,0.6991
0.7006,0.6856,0.7234,0.6927,0.729,0.7078,0.7358,0.7103,0.6999,0.7328
0.7489,0.7314,0.684,0.7321,0.709,0.7376,0.7021,0.7227,0.7123,0.7337
0.7365,0.7253,0.7109,0.7381,0.7226,0.7315,0.7358,0.7255,0.7171,0.7334
0.7518,0.7451,0.7217,0.7347,0.716,0.7411,0.7051,0.7408,0.7359,0.7323
0.7543,0.7032,0.7229,0.7197,0.7353,0.7085,0.7395,0.7464,0.7352,0.7346
0.7166,0.6499,0.7047,0.7015,0.7354,0.7068,0.7424,0.7001,0.7016,0.6888
0.7415,0.7302,0.7522,0.6943,0.7212,0.7424,0.7242,0.7356,0.6979,0.7184
0.741,0.6934,0.7476,0.7176,0.7203,0.6836,0.7057,0.71,0.7117,0.7274
0.737,0.7228,0.6944,0.7592,0.7435,0.7394,0.7226,0.7494,0.7406,0.7456
