EntropySampling_run_1,EntropySampling_run_2,EntropySampling_run_3,EntropySampling_run_4,EntropySampling_run_5,EntropySampling_run_6,EntropySampling_run_7,EntropySampling_run_8,EntropySampling_run_9,EntropySampling_run_10
0.4464,0.4557,0.3874,0.2646,0.6521,0.5432,0.5775,0.2141,0.3799,0.5798
0.4573,0.4425,0.5254,0.5543,0.3621,0.552,0.528,0.3243,0.6234,0.3558
0.6948,0.4703,0.6178,0.5634,0.6095,0.4888,0.7622,0.6152,0.5872,0.6158
0.7589,0.7055,0.6801,0.7097,0.5627,0.6757,0.6341,0.3662,0.4805,0.6342
0.5241,0.7679,0.714,0.5726,0.5948,0.5955,0.6897,0.7759,0.7876,0.7525
0.6911,0.79,0.7655,0.6379,0.7655,0.6884,0.7956,0.749,0.5984,0.7844
0.83,0.7711,0.7934,0.7641,0.7655,0.516,0.7719,0.7406,0.7628,0.7631
0.821,0.8305,0.8196,0.806,0.8412,0.7472,0.7373,0.8125,0.7567,0.8405
0.83,0.8208,0.8627,0.772,0.7705,0.749,0.7714,0.8179,0.8516,0.7361
0.8466,0.8204,0.8059,0.8658,0.8557,0.8325,0.8231,0.752,0.7898,0.7939
0.8461,0.8204,0.7515,0.8186,0.8372,0.808,0.8367,0.8231,0.8698,0.783
0.8604,0.8633,0.8235,0.8436,0.8368,0.86,0.8308,0.8398,0.8682,0.8541
0.8251,0.8565,0.8147,0.875,0.8633,0.857,0.8778,0.8498,0.8482,0.8766
0.869,0.891,0.7773,0.7983,0.8252,0.8234,0.873,0.8637,0.9005,0.8763
0.8654,0.8885,0.8854,0.8571,0.9088,0.851,0.8387,0.8703,0.8826,0.8733
0.8602,0.8926,0.8944,0.7933,0.8914,0.8252,0.8665,0.8353,0.8962,0.8597
0.8926,0.8998,0.8818,0.7824,0.8414,0.8587,0.8763,0.8955,0.8866,0.8495
0.889,0.8886,0.9203,0.8501,0.9005,0.9025,0.9,0.8819,0.8819,0.875
0.8997,0.8942,0.8748,0.8871,0.8679,0.898,0.9167,0.8793,0.9027,0.8902
0.767,0.9101,0.8249,0.8723,0.8805,0.89,0.8952,0.8977,0.8813,0.8906
0.8993,0.8955,0.9236,0.9296,0.8919,0.8808,0.9171,0.9118,0.9168,0.9008
0.9293,0.9212,0.9282,0.901,0.9088,0.9237,0.9223,0.8928,0.9081,0.9175
0.932,0.8935,0.9036,0.8981,0.9055,0.9163,0.911,0.9224,0.9044,0.9186
0.9342,0.9193,0.9155,0.9161,0.9225,0.9354,0.9152,0.9206,0.9185,0.9124
0.8962,0.9165,0.91,0.9304,0.9308,0.926,0.8997,0.8878,0.9253,0.9322
0.9299,0.9211,0.9224,0.9244,0.9317,0.9254,0.9279,0.9223,0.9165,0.8982
0.9334,0.9157,0.929,0.9269,0.9301,0.9311,0.9114,0.9126,0.936,0.9283
0.9346,0.9353,0.9226,0.9282,0.9332,0.9215,0.9374,0.9418,0.9329,0.932
0.9328,0.9337,0.9238,0.909,0.9269,0.9399,0.931,0.9439,0.9264,0.9074
0.9413,0.9223,0.9341,0.9304,0.9226,0.9271,0.9321,0.927,0.9238,0.9266
0.942,0.9429,0.9334,0.9292,0.9383,0.9384,0.9434,0.9284,0.9354,0.9366
0.9182,0.9236,0.9436,0.92,0.9428,0.9377,0.9285,0.9339,0.9429,0.9453
0.9465,0.9417,0.9495,0.9416,0.9468,0.9446,0.9387,0.9319,0.9393,0.9256
0.9368,0.9388,0.9453,0.9333,0.9367,0.9421,0.9436,0.939,0.9379,0.9342
0.9393,0.9404,0.9308,0.944,0.9215,0.9462,0.9429,0.9378,0.9422,0.9381
0.937,0.9475,0.9223,0.9012,0.9492,0.9381,0.9467,0.9355,0.9313,0.9221
0.9496,0.9409,0.9421,0.9536,0.9516,0.9324,0.9423,0.9274,0.9459,0.9321
0.9352,0.9391,0.946,0.9421,0.9313,0.9535,0.9287,0.9402,0.94,0.9306
0.9499,0.9506,0.95,0.9447,0.9489,0.9479,0.9476,0.9432,0.9462,0.9397
0.943,0.9425,0.9443,0.9475,0.9501,0.9469,0.9451,0.9494,0.948,0.9444
0.9533,0.9419,0.9463,0.9513,0.949,0.9514,0.9532,0.9515,0.9473,0.9433
0.9429,0.9472,0.9459,0.9527,0.9557,0.9491,0.9445,0.9524,0.9585,0.9498
0.9369,0.9446,0.942,0.9505,0.9505,0.9481,0.9565,0.9436,0.9543,0.9433
0.9595,0.9516,0.9406,0.9542,0.9514,0.951,0.9478,0.9523,0.9495,0.9508
0.954,0.955,0.9485,0.948,0.9455,0.9504,0.9548,0.9451,0.9475,0.9515
0.9525,0.9438,0.9474,0.9516,0.9484,0.9476,0.9486,0.9572,0.9559,0.9527
0.9445,0.9422,0.9551,0.9464,0.9509,0.9497,0.9548,0.954,0.9541,0.958
0.9593,0.9553,0.9484,0.9441,0.9417,0.95,0.947,0.9563,0.9471,0.954
0.9517,0.9577,0.9556,0.9481,0.9524,0.9532,0.9599,0.9526,0.9613,0.9503
0.9518,0.9562,0.9506,0.947,0.9537,0.9515,0.9533,0.9504,0.9553,0.9515
