LeastConfidence_run_1,LeastConfidence_run_2,LeastConfidence_run_3,LeastConfidence_run_4,LeastConfidence_run_5,LeastConfidence_run_6,LeastConfidence_run_7,LeastConfidence_run_8,LeastConfidence_run_9,LeastConfidence_run_10
0.4749,0.5,0.3665,0.3309,0.6373,0.6273,0.6179,0.3085,0.216,0.5272
0.4781,0.5485,0.5501,0.5448,0.3572,0.6196,0.4561,0.3261,0.6328,0.3586
0.7281,0.4202,0.5503,0.636,0.6368,0.5086,0.7519,0.642,0.6665,0.6186
0.709,0.7306,0.4092,0.7582,0.6205,0.6957,0.513,0.4247,0.5948,0.6513
0.5388,0.7844,0.736,0.6697,0.5505,0.6831,0.66,0.7753,0.7238,0.759
0.716,0.7909,0.7683,0.5992,0.7622,0.673,0.7701,0.755,0.5116,0.7841
0.8325,0.7471,0.785,0.7629,0.7425,0.4893,0.8138,0.71,0.7595,0.7856
0.8356,0.807,0.8158,0.845,0.8593,0.7485,0.7537,0.7988,0.781,0.854
0.8608,0.8235,0.8791,0.7322,0.7769,0.7502,0.7853,0.8469,0.8301,0.6789
0.862,0.8178,0.832,0.8811,0.8696,0.8519,0.8061,0.7843,0.8223,0.7777
0.8668,0.8447,0.7899,0.841,0.8324,0.819,0.8448,0.8324,0.8699,0.8054
0.8873,0.863,0.8067,0.8356,0.8651,0.8799,0.8429,0.8585,0.8348,0.8501
0.834,0.8779,0.8548,0.8785,0.8758,0.8497,0.8995,0.8155,0.8486,0.8618
0.8823,0.904,0.8327,0.7909,0.8463,0.8645,0.8792,0.8895,0.897,0.8795
0.8962,0.9029,0.8899,0.8745,0.8973,0.8628,0.8871,0.8566,0.8911,0.8986
0.8748,0.8958,0.9025,0.8016,0.9101,0.8517,0.8832,0.8215,0.9118,0.856
0.8913,0.9104,0.8983,0.801,0.8526,0.8663,0.9044,0.9018,0.8775,0.8287
0.8954,0.8979,0.9203,0.8667,0.899,0.9063,0.9054,0.9009,0.8881,0.8997
0.911,0.8972,0.901,0.8804,0.8758,0.9006,0.9225,0.8827,0.9081,0.9044
0.8681,0.8622,0.8649,0.914,0.92,0.8887,0.8885,0.8948,0.8127,0.8871
0.9006,0.8992,0.9268,0.9303,0.877,0.9067,0.9239,0.9094,0.9208,0.9097
0.9351,0.9226,0.9299,0.9251,0.9001,0.8899,0.9263,0.9096,0.9216,0.9188
0.9353,0.91,0.9173,0.8923,0.9219,0.9039,0.9186,0.9299,0.9121,0.9301
0.9238,0.9098,0.92,0.9186,0.9308,0.9355,0.9181,0.9097,0.9137,0.9248
0.9168,0.9171,0.9328,0.9317,0.9376,0.932,0.9051,0.899,0.934,0.9323
0.9319,0.9208,0.9274,0.9269,0.9309,0.9272,0.9329,0.9352,0.9248,0.9227
0.9407,0.9186,0.9372,0.9224,0.9347,0.9383,0.9295,0.9212,0.9391,0.9297
0.9408,0.9419,0.9278,0.9341,0.9358,0.9225,0.9396,0.9449,0.9289,0.935
0.9303,0.9363,0.9193,0.914,0.9412,0.9436,0.9421,0.9462,0.9362,0.9255
0.9397,0.9234,0.9363,0.934,0.9331,0.933,0.9363,0.9259,0.9232,0.928
0.9498,0.952,0.9315,0.9355,0.941,0.9414,0.9335,0.9393,0.9324,0.9435
0.9081,0.9192,0.9487,0.9303,0.9395,0.9313,0.925,0.9249,0.9423,0.9454
0.9495,0.9437,0.9431,0.9402,0.9509,0.941,0.9337,0.9384,0.9435,0.9226
0.9404,0.9309,0.9375,0.9284,0.9436,0.9442,0.9467,0.9393,0.9386,0.9435
0.9435,0.9411,0.9368,0.944,0.9231,0.9508,0.9475,0.9453,0.9463,0.9366
0.9382,0.9471,0.9474,0.9361,0.9526,0.9499,0.9068,0.9469,0.9277,0.9364
0.9514,0.944,0.9445,0.9467,0.9492,0.9318,0.9467,0.9269,0.9454,0.9468
0.9426,0.93,0.9422,0.9476,0.9317,0.9551,0.9329,0.9383,0.9325,0.9357
0.9535,0.95,0.9487,0.9435,0.9491,0.9484,0.9538,0.947,0.9455,0.9434
0.9478,0.9473,0.9484,0.9478,0.9485,0.9518,0.9489,0.947,0.9537,0.946
0.9534,0.9468,0.9452,0.9541,0.955,0.9512,0.9537,0.95,0.9432,0.942
0.9454,0.9538,0.9457,0.9523,0.9495,0.9467,0.9468,0.9536,0.9568,0.9526
0.9361,0.9444,0.9438,0.9515,0.953,0.9509,0.9516,0.9476,0.9539,0.9443
0.9527,0.9492,0.9422,0.9544,0.9498,0.954,0.9452,0.9556,0.949,0.9454
0.9397,0.9521,0.9478,0.9445,0.9446,0.9474,0.9516,0.9418,0.9451,0.9503
0.953,0.9463,0.9528,0.9515,0.9487,0.9506,0.9553,0.9538,0.9571,0.9499
0.9441,0.9465,0.9542,0.9458,0.9512,0.9477,0.9573,0.9514,0.9561,0.9561
0.9584,0.9543,0.9511,0.9461,0.9454,0.9517,0.9476,0.9558,0.951,0.9517
0.9564,0.9548,0.957,0.9457,0.9529,0.9502,0.9609,0.9474,0.9601,0.9517
0.9505,0.9546,0.9511,0.9453,0.9529,0.9548,0.9516,0.9529,0.9524,0.9509
