HumanlikeLearning_I_run_1,HumanlikeLearning_I_run_2,HumanlikeLearning_I_run_3,HumanlikeLearning_I_run_4,HumanlikeLearning_I_run_5,HumanlikeLearning_I_run_6,HumanlikeLearning_I_run_7,HumanlikeLearning_I_run_8,HumanlikeLearning_I_run_9,HumanlikeLearning_I_run_10
0.3629,0.5074,0.2936,0.2502,0.4735,0.3989,0.4259,0.3365,0.3414,0.4988
0.2573,0.3137,0.4797,0.4203,0.2798,0.4815,0.4944,0.291,0.5308,0.4079
0.5511,0.2421,0.384,0.4004,0.4112,0.3667,0.4969,0.5362,0.3408,0.4503
0.4855,0.5951,0.2826,0.5189,0.2257,0.4338,0.3663,0.2935,0.4511,0.3272
0.4516,0.5467,0.5604,0.3287,0.5452,0.4927,0.3382,0.529,0.5697,0.5705
0.5021,0.5463,0.5838,0.4618,0.5334,0.5682,0.5239,0.5569,0.3405,0.3408
0.5386,0.5178,0.5312,0.572,0.5556,0.2007,0.6465,0.3175,0.6036,0.4427
0.5483,0.4868,0.4815,0.4597,0.4634,0.5333,0.5333,0.6093,0.5292,0.5195
0.5645,0.4134,0.6109,0.5075,0.5017,0.6186,0.6593,0.5422,0.584,0.5609
0.5572,0.4356,0.6069,0.4212,0.6554,0.5728,0.46,0.4226,0.5709,0.5392
0.5589,0.5551,0.5477,0.5536,0.5929,0.6243,0.583,0.6045,0.5438,0.5355
0.6126,0.5816,0.5431,0.6505,0.5481,0.513,0.4604,0.5371,0.5247,0.5474
0.6048,0.591,0.5806,0.5861,0.6091,0.5946,0.6027,0.6437,0.6115,0.6026
0.5071,0.5645,0.6413,0.555,0.5865,0.6401,0.5805,0.5717,0.6027,0.5566
0.6625,0.5235,0.6276,0.6292,0.6288,0.5913,0.6431,0.5625,0.6341,0.5899
0.6048,0.5201,0.6046,0.5018,0.5778,0.6681,0.6376,0.5622,0.62,0.5796
0.5115,0.5664,0.6029,0.4167,0.5408,0.5905,0.599,0.6713,0.6583,0.6291
0.6123,0.6395,0.6237,0.5697,0.5571,0.6487,0.5801,0.6431,0.6402,0.5943
0.6999,0.6503,0.6544,0.6248,0.6232,0.6526,0.6607,0.6724,0.6342,0.6507
0.6185,0.655,0.5857,0.6741,0.6667,0.6561,0.6326,0.5596,0.5844,0.6349
0.6801,0.6323,0.6731,0.573,0.681,0.6486,0.6263,0.6544,0.5832,0.6476
0.6374,0.6463,0.6372,0.6629,0.6218,0.6547,0.611,0.5944,0.646,0.6069
0.6766,0.6258,0.6852,0.6463,0.6307,0.6751,0.6223,0.6628,0.6414,0.6803
0.6839,0.646,0.6836,0.6708,0.6377,0.6759,0.6582,0.6469,0.6546,0.6314
0.6702,0.6647,0.698,0.7051,0.6737,0.7118,0.6701,0.6176,0.6195,0.6805
0.657,0.6981,0.6671,0.7028,0.6913,0.6746,0.6672,0.6775,0.677,0.6915
0.649,0.6972,0.6896,0.6729,0.7011,0.6544,0.6737,0.6585,0.6894,0.6732
0.6714,0.698,0.6604,0.7017,0.6827,0.7036,0.6509,0.6575,0.7035,0.6982
0.6901,0.6553,0.6472,0.6265,0.5728,0.6029,0.6423,0.6341,0.6863,0.6974
0.6639,0.6638,0.6969,0.687,0.688,0.7013,0.6787,0.6724,0.6934,0.7082
0.621,0.6888,0.7111,0.659,0.6966,0.6867,0.6422,0.6805,0.6964,0.7005
0.722,0.7006,0.6413,0.7063,0.6986,0.6989,0.6957,0.7106,0.7,0.6939
0.6722,0.6701,0.7078,0.6983,0.7154,0.7179,0.7128,0.7206,0.6636,0.7018
0.7061,0.6898,0.6977,0.7056,0.7047,0.7029,0.7025,0.6955,0.711,0.6928
0.7001,0.6736,0.6999,0.6172,0.6892,0.7114,0.6851,0.7071,0.672,0.7008
0.7136,0.6833,0.6999,0.6718,0.6744,0.6611,0.6534,0.7023,0.6938,0.6872
0.7184,0.6508,0.726,0.7127,0.6924,0.698,0.6822,0.7257,0.6372,0.6483
0.6598,0.7135,0.6678,0.7178,0.7039,0.707,0.7209,0.7032,0.7209,0.6792
0.7224,0.6531,0.7268,0.6955,0.7181,0.7162,0.7165,0.6998,0.693,0.715
0.7018,0.691,0.7063,0.7256,0.7211,0.7115,0.7069,0.7231,0.7348,0.6996
0.7069,0.731,0.7112,0.7029,0.7259,0.7406,0.7195,0.6372,0.7196,0.7051
0.7293,0.7189,0.6948,0.6742,0.6862,0.7238,0.7388,0.714,0.6889,0.7059
0.7146,0.7073,0.69,0.7261,0.7028,0.7116,0.7105,0.7286,0.7113,0.7151
0.7345,0.7166,0.6477,0.7378,0.7281,0.7251,0.6998,0.7185,0.7195,0.7025
0.6721,0.7212,0.7274,0.6739,0.7023,0.7459,0.7276,0.7291,0.723,0.7213
0.655,0.7276,0.7304,0.7046,0.7411,0.7324,0.7232,0.724,0.691,0.7298
0.7337,0.7436,0.6946,0.7161,0.7054,0.7346,0.7286,0.7178,0.7027,0.6986
0.7398,0.7125,0.7257,0.7384,0.6974,0.7174,0.7172,0.7385,0.7112,0.7569
0.7454,0.742,0.7238,0.7447,0.6789,0.7211,0.7395,0.7135,0.7438,0.7248
0.7091,0.731,0.7143,0.7066,0.73,0.7236,0.7233,0.7392,0.717,0.7373
