EntropySampling_run_1,EntropySampling_run_2,EntropySampling_run_3,EntropySampling_run_4,EntropySampling_run_5,EntropySampling_run_6,EntropySampling_run_7,EntropySampling_run_8,EntropySampling_run_9,EntropySampling_run_10
0.1,0.1153,0.12,0.1,0.1213,0.1,0.107,0.1969,0.1009,0.1923
0.1,0.1022,0.1926,0.1165,0.2202,0.1022,0.1118,0.1303,0.1109,0.1
0.2105,0.0999,0.1876,0.1193,0.2308,0.1669,0.1857,0.1983,0.1194,0.1342
0.2102,0.1368,0.1938,0.216,0.1886,0.2479,0.2725,0.1863,0.2777,0.1871
0.2645,0.2878,0.2551,0.3169,0.273,0.2669,0.2679,0.2885,0.2532,0.1827
0.1439,0.2818,0.287,0.3134,0.2414,0.2753,0.3313,0.2684,0.2476,0.311
0.2274,0.3016,0.2738,0.3257,0.3087,0.2091,0.3477,0.257,0.3101,0.3637
0.2746,0.3085,0.3336,0.3564,0.3896,0.3212,0.4305,0.2441,0.4214,0.2933
0.3267,0.3378,0.4192,0.3863,0.4023,0.4337,0.4624,0.4649,0.4281,0.4823
0.3683,0.388,0.4371,0.4326,0.4439,0.413,0.3782,0.4899,0.5218,0.4441
0.5584,0.3716,0.4703,0.442,0.4466,0.3965,0.4601,0.3838,0.462,0.5269
0.4129,0.4472,0.4918,0.4662,0.4093,0.4757,0.4867,0.475,0.4075,0.5049
0.3059,0.5223,0.4869,0.48,0.3788,0.406,0.4137,0.3996,0.4837,0.5307
0.4839,0.4925,0.5538,0.4774,0.5521,0.5493,0.4929,0.433,0.5448,0.5329
0.4771,0.4283,0.5287,0.4835,0.4951,0.5022,0.4937,0.5315,0.5025,0.4867
0.5474,0.5011,0.5539,0.5133,0.5471,0.489,0.6187,0.5145,0.3913,0.5861
0.5085,0.5193,0.5648,0.5096,0.5366,0.5343,0.4592,0.5128,0.5071,0.5448
0.5492,0.5954,0.5819,0.5189,0.5619,0.5462,0.5192,0.5964,0.4816,0.5429
0.5845,0.565,0.5868,0.5693,0.554,0.4999,0.6049,0.5259,0.5157,0.4909
0.5476,0.5244,0.5504,0.4809,0.5483,0.6095,0.5843,0.5182,0.5533,0.5657
0.6156,0.5526,0.5907,0.5869,0.5466,0.4856,0.6212,0.5349,0.5245,0.5699
0.6059,0.5169,0.6422,0.646,0.5521,0.6146,0.5624,0.5957,0.5775,0.6345
0.6171,0.5798,0.6064,0.6314,0.5997,0.6357,0.5586,0.5604,0.6216,0.6164
0.5864,0.5573,0.6197,0.5915,0.6334,0.6655,0.6107,0.5923,0.639,0.5244
0.6708,0.6129,0.6442,0.6064,0.6054,0.6011,0.6607,0.5801,0.6335,0.6535
0.6633,0.5744,0.6229,0.6191,0.6706,0.6608,0.5384,0.6599,0.5524,0.6333
0.6687,0.6014,0.6049,0.5883,0.6462,0.6596,0.5586,0.6453,0.5679,0.5779
0.6578,0.6347,0.6043,0.6848,0.6312,0.6743,0.6457,0.5778,0.6601,0.6761
0.6648,0.6137,0.6388,0.6871,0.6368,0.6631,0.5523,0.6586,0.6279,0.6767
0.6925,0.5954,0.6663,0.65,0.6457,0.6914,0.6608,0.6258,0.6519,0.6144
0.68,0.6352,0.612,0.6713,0.6942,0.68,0.6828,0.6327,0.6074,0.6285
0.6261,0.7181,0.5893,0.6872,0.6348,0.6216,0.6039,0.689,0.6783,0.6855
0.6012,0.615,0.6122,0.6983,0.6542,0.6447,0.6805,0.671,0.6943,0.6707
0.6775,0.6611,0.671,0.6544,0.7042,0.6779,0.6921,0.6531,0.6542,0.673
0.6354,0.6361,0.6625,0.7032,0.6563,0.6683,0.6774,0.694,0.6597,0.6893
0.6894,0.6824,0.6863,0.6988,0.6111,0.7102,0.6791,0.6894,0.6468,0.6843
0.6741,0.627,0.6637,0.6877,0.7039,0.6248,0.7058,0.6882,0.6654,0.6804
0.6678,0.6625,0.6943,0.6983,0.6833,0.5919,0.7139,0.6458,0.6607,0.7018
0.6603,0.6684,0.656,0.6565,0.6913,0.6417,0.6469,0.6778,0.6671,0.673
0.7048,0.6568,0.6895,0.6902,0.699,0.7149,0.6755,0.6755,0.5569,0.6572
0.6895,0.702,0.7139,0.6603,0.6878,0.6587,0.7089,0.6665,0.6874,0.6507
0.6958,0.7012,0.7229,0.6497,0.6479,0.6783,0.694,0.6321,0.6613,0.6942
0.7208,0.6961,0.6391,0.6969,0.6318,0.6779,0.6591,0.703,0.6659,0.7062
0.7202,0.685,0.6937,0.7379,0.7137,0.7245,0.7138,0.7289,0.6663,0.7218
0.7013,0.7113,0.6939,0.6739,0.7047,0.7134,0.7067,0.698,0.7256,0.6695
0.7241,0.713,0.6887,0.7038,0.6907,0.7211,0.6957,0.6457,0.7262,0.7132
0.72,0.693,0.7253,0.6936,0.705,0.6993,0.6891,0.7306,0.6847,0.7188
0.7142,0.7095,0.726,0.6965,0.7323,0.7267,0.7216,0.6969,0.7234,0.7026
0.6735,0.723,0.7304,0.6604,0.723,0.7086,0.7319,0.7122,0.6544,0.6918
0.7045,0.7376,0.7277,0.7307,0.7199,0.7473,0.7304,0.6903,0.7081,0.6847
