HumanlikeLearning_I_run_1,HumanlikeLearning_I_run_2,HumanlikeLearning_I_run_3,HumanlikeLearning_I_run_4,HumanlikeLearning_I_run_5,HumanlikeLearning_I_run_6,HumanlikeLearning_I_run_7,HumanlikeLearning_I_run_8,HumanlikeLearning_I_run_9,HumanlikeLearning_I_run_10
0.2008,0.1,0.1811,0.1915,0.1831,0.173,0.1,0.1093,0.1988,0.1629
0.1,0.1968,0.1368,0.1003,0.1062,0.1,0.1413,0.1,0.2795,0.2378
0.1668,0.1779,0.1981,0.1427,0.2775,0.2023,0.3158,0.1877,0.2182,0.1909
0.2078,0.2033,0.2407,0.248,0.2164,0.2298,0.1973,0.2802,0.1806,0.2047
0.2888,0.2899,0.2689,0.1347,0.2573,0.2836,0.3458,0.2462,0.2725,0.3408
0.3585,0.2406,0.2818,0.3351,0.1979,0.2792,0.2902,0.1956,0.2153,0.374
0.4305,0.3011,0.3756,0.1771,0.2565,0.3529,0.2604,0.2751,0.3056,0.4281
0.47,0.2973,0.4344,0.3624,0.2944,0.3638,0.4448,0.3589,0.3278,0.4006
0.2765,0.3714,0.396,0.3865,0.4031,0.4244,0.4143,0.3263,0.4656,0.4674
0.5112,0.3523,0.4938,0.4546,0.4932,0.4912,0.5231,0.4559,0.4207,0.4886
0.5014,0.4104,0.4013,0.484,0.4284,0.5119,0.5,0.4243,0.4746,0.5835
0.5189,0.4482,0.4668,0.5479,0.3831,0.4728,0.4826,0.4809,0.4303,0.5215
0.442,0.4742,0.5457,0.4562,0.5228,0.4823,0.4577,0.3444,0.469,0.5121
0.6224,0.4491,0.4838,0.5113,0.5006,0.4246,0.6219,0.5346,0.5195,0.4137
0.5454,0.5292,0.6063,0.4118,0.5281,0.5153,0.5523,0.5816,0.5413,0.5789
0.6379,0.4711,0.5549,0.6672,0.549,0.5208,0.5269,0.4873,0.5222,0.5774
0.6117,0.4645,0.5268,0.556,0.5778,0.5664,0.5517,0.452,0.4842,0.5701
0.6192,0.5674,0.6342,0.4666,0.6434,0.4982,0.5582,0.5662,0.5811,0.6009
0.6137,0.5192,0.601,0.5313,0.6283,0.4743,0.5853,0.5619,0.5997,0.614
0.6315,0.5561,0.6234,0.603,0.6087,0.5158,0.6642,0.5774,0.6655,0.5605
0.6197,0.4345,0.6,0.5782,0.5988,0.6282,0.6026,0.6287,0.6317,0.5698
0.677,0.5718,0.6131,0.6636,0.5156,0.5628,0.6101,0.5906,0.5997,0.6253
0.6135,0.5859,0.6252,0.6521,0.5899,0.6161,0.6833,0.6215,0.5895,0.6261
0.5249,0.5669,0.6573,0.6231,0.5411,0.6064,0.6028,0.6767,0.5945,0.6206
0.5894,0.6284,0.5921,0.6777,0.6564,0.5859,0.686,0.6143,0.6449,0.6305
0.6544,0.6316,0.6475,0.6496,0.6318,0.6367,0.6541,0.6874,0.6647,0.6549
0.6876,0.5986,0.6633,0.6476,0.6571,0.6472,0.7129,0.6596,0.5959,0.6647
0.6678,0.6298,0.6328,0.6959,0.5766,0.579,0.645,0.5179,0.6309,0.6956
0.6853,0.617,0.6363,0.6974,0.6367,0.6079,0.6249,0.5963,0.6633,0.6666
0.6549,0.7057,0.6294,0.6673,0.6688,0.6853,0.6849,0.6796,0.6801,0.655
0.6854,0.659,0.6613,0.676,0.6154,0.6112,0.6894,0.6991,0.6698,0.682
0.6746,0.6415,0.6359,0.6707,0.6739,0.6755,0.69,0.6112,0.657,0.7
0.6938,0.6763,0.6435,0.7093,0.6464,0.678,0.6754,0.6608,0.6325,0.7181
0.6916,0.6217,0.6886,0.6899,0.5984,0.6986,0.7154,0.6652,0.6409,0.6979
0.6994,0.6772,0.6747,0.6043,0.684,0.6834,0.694,0.7053,0.6725,0.7039
0.6551,0.6912,0.7008,0.6974,0.6784,0.6712,0.681,0.6237,0.7003,0.7008
0.6971,0.6637,0.6739,0.7123,0.6775,0.6938,0.7014,0.6921,0.6519,0.6951
0.7028,0.6486,0.6861,0.6132,0.6968,0.7015,0.6935,0.6951,0.6764,0.6592
0.7114,0.6624,0.6822,0.6542,0.7122,0.7106,0.7058,0.6579,0.6801,0.7084
0.5901,0.6385,0.6916,0.6904,0.599,0.6859,0.6723,0.5837,0.6914,0.6826
0.6926,0.6905,0.6612,0.709,0.6983,0.6975,0.7093,0.6858,0.7124,0.6874
0.6845,0.6545,0.6157,0.7123,0.6622,0.6474,0.7223,0.6576,0.6714,0.7145
0.7256,0.7159,0.7218,0.7131,0.7113,0.7071,0.7266,0.7096,0.7176,0.6923
0.7277,0.7022,0.6946,0.7149,0.7078,0.7122,0.6732,0.6689,0.6863,0.7261
0.7009,0.6935,0.704,0.7323,0.6932,0.6943,0.7354,0.7283,0.6863,0.7142
0.6846,0.7079,0.7405,0.7215,0.7229,0.7413,0.6982,0.6657,0.7316,0.6883
0.7252,0.7218,0.7223,0.6823,0.7267,0.7354,0.7401,0.7063,0.7016,0.7176
0.7216,0.6917,0.7313,0.712,0.7133,0.7398,0.7245,0.7142,0.7293,0.7156
0.7168,0.7175,0.7178,0.7152,0.7077,0.7245,0.7383,0.6459,0.6988,0.7173
0.7037,0.6883,0.7281,0.709,0.7138,0.7189,0.7384,0.7352,0.7366,0.661
